t, ref_c, dmm_c, humidity, v
1690125466.6633646, 22.685, 31.8566, 62.53, 9.999990236E+00
1690125468.0815823, 22.693, 31.8617, 62.577, 9.999989132E+00
1690125469.5000901, 22.695, 31.8679, 62.612, 9.999988635E+00
1690125470.9184775, 22.707, 31.873, 62.651, 9.999978415E+00
1690125472.337451, 22.715, 31.8795, 62.686, 9.999993298E+00
1690125473.7555015, 22.721, 31.8842, 62.721, 9.999983078E+00
1690125475.174027, 22.73, 31.8902, 62.742, 9.999987615E+00
1690125476.592305, 22.724, 31.8961, 62.779, 9.999986793E+00
1690125478.0108905, 22.731, 31.9015, 62.801, 9.999984222E+00
1690125479.4293072, 22.728, 31.9078, 62.825, 9.999979845E+00
1690125480.8477328, 22.73, 31.9128, 62.859, 9.999987922E+00
1690125482.2662277, 22.734, 31.9194, 62.887, 9.999981542E+00
1690125483.6847858, 22.739, 31.9235, 62.914, 9.999985226E+00
1690125485.1031272, 22.742, 31.9297, 62.936, 9.999980238E+00
1690125486.5216243, 22.75, 31.9341, 62.953, 9.999987063E+00
1690125487.9401352, 22.75, 31.9405, 62.982, 9.999984093E+00
1690125489.3586586, 22.757, 31.9469, 62.998, 9.999983543E+00
1690125490.7769978, 22.759, 31.9515, 63.027, 9.999998074E+00
1690125492.1954157, 22.759, 31.9581, 63.059, 9.999980491E+00
1690125493.6139197, 22.753, 31.9628, 63.071, 9.999981773E+00
1690125495.032481, 22.757, 31.969, 63.102, 9.999982795E+00
1690125496.4509501, 22.756, 31.9739, 63.121, 9.999986054E+00
1690125497.8693821, 22.759, 31.9796, 63.139, 9.999979942E+00
1690125499.2879586, 22.757, 31.9861, 63.159, 9.999984820E+00
1690125500.7063627, 22.762, 31.9908, 63.175, 9.999987325E+00
1690125502.1246967, 22.774, 31.9974, 63.191, 9.999989146E+00
1690125503.5432403, 22.77, 32.0017, 63.203, 9.999981031E+00
1690125504.961763, 22.777, 32.0076, 63.21, 9.999981731E+00
1690125506.3800871, 22.77, 32.0127, 63.207, 9.999979686E+00
1690125507.7985837, 22.77, 32.0188, 63.224, 9.999980670E+00
1690125509.2170696, 22.78, 32.024, 63.237, 9.999983073E+00
1690125510.635559, 22.783, 32.0303, 63.243, 9.999980529E+00
1690125512.0539799, 22.782, 32.036, 63.254, 9.999982349E+00
1690125513.472452, 22.788, 32.0405, 63.276, 9.999983063E+00
1690125514.890851, 22.79, 32.0466, 63.298, 9.999976469E+00
1690125516.309393, 22.791, 32.0518, 63.304, 9.999983185E+00
1690125517.7279503, 22.796, 32.0578, 63.324, 9.999982775E+00
1690125519.1462588, 22.802, 32.0627, 63.351, 9.999981710E+00
1690125520.5648365, 22.797, 32.0688, 63.364, 9.999987969E+00
1690125521.9830577, 22.791, 32.0751, 63.386, 9.999979326E+00
1690125523.4016733, 22.799, 32.0795, 63.412, 9.999982823E+00
1690125524.8201294, 22.797, 32.0856, 63.446, 9.999995094E+00
1690125526.2386649, 22.803, 32.0904, 63.462, 9.999979999E+00
1690125527.6569438, 22.793, 32.0965, 63.486, 9.999978523E+00
1690125529.0756583, 22.794, 32.1019, 63.523, 9.999985648E+00
1690125530.4939904, 22.797, 32.1077, 63.544, 9.999994974E+00
1690125531.912255, 22.78, 32.1126, 63.577, 9.999983733E+00
1690125533.3307538, 22.779, 32.1179, 63.601, 9.999993444E+00
1690125534.7492108, 22.776, 32.1239, 63.633, 9.999987674E+00
1690125536.1680214, 22.785, 32.1288, 63.671, 9.999976900E+00
1690125537.5861232, 22.782, 32.1351, 63.684, 9.999984382E+00
1690125539.0046701, 22.787, 32.1392, 63.707, 9.999991635E+00
1690125540.4232366, 22.79, 32.1449, 63.715, 9.999986801E+00
1690125541.8416839, 22.799, 32.1499, 63.714, 9.999987938E+00
1690125543.2602537, 22.802, 32.1556, 63.701, 9.999983276E+00
1690125544.6784472, 22.808, 32.1618, 63.703, 9.999976440E+00
1690125546.0969458, 22.811, 32.1658, 63.695, 9.999980155E+00
1690125547.5156116, 22.811, 32.1724, 63.693, 9.999982046E+00
