t,ref_c,humidity,dmm_c,r_ohm
1689545780.349865,24.781,55.65,38.0339,2.000110890E+02
1689545781.7684176,24.788,55.647,38.0339,2.000110645E+02
1689545783.1867213,24.794,55.651,38.0339,2.000109649E+02
1689545784.6052349,24.784,55.649,38.0339,2.000110925E+02
1689545786.0237935,24.781,55.648,38.0335,2.000110328E+02
1689545787.4420722,24.784,55.643,38.0335,2.000110258E+02
1689545788.860588,24.788,55.65,38.0335,2.000110293E+02
1689545790.2791538,24.777,55.653,38.0335,2.000110835E+02
1689545791.6976666,24.791,55.653,38.033,2.000110040E+02
1689545793.1161761,24.783,55.65,38.033,2.000110040E+02
1689545794.5345466,24.788,55.648,38.033,2.000109760E+02
1689545795.9529622,24.788,55.648,38.033,2.000110879E+02
1689545797.3715734,24.789,55.649,38.0321,2.000109989E+02
1689545798.7900288,24.789,55.64,38.0321,2.000110846E+02
1689545800.2084215,24.788,55.64,38.0321,2.000110776E+02
1689545801.6268835,24.789,55.644,38.0321,2.000111301E+02
1689545803.0454478,24.786,55.647,38.0312,2.000111110E+02
1689545804.463966,24.788,55.639,38.0312,2.000110586E+02
1689545805.8825111,24.794,55.642,38.0312,2.000111792E+02
1689545807.3007426,24.792,55.648,38.0312,2.000110900E+02
1689545808.7193263,24.794,55.64,38.0306,2.000109675E+02
1689545810.1378288,24.795,55.64,38.0306,2.000110601E+02
1689545811.556229,24.781,55.643,38.0306,2.000109902E+02
1689545812.974699,24.789,55.64,38.0306,2.000110339E+02
1689545814.3931646,24.784,55.643,38.0296,2.000110620E+02
1689545815.8116965,24.784,55.641,38.0296,2.000110112E+02
1689545817.2302055,24.789,55.635,38.0296,2.000109833E+02
1689545818.648553,24.783,55.638,38.0296,2.000110497E+02
1689545820.06706,24.786,55.639,38.0292,2.000110403E+02
1689545821.4855216,24.792,55.641,38.0292,2.000110560E+02
1689545822.90407,24.786,55.636,38.0292,2.000110106E+02
1689545824.3226,24.789,55.632,38.0292,2.000109931E+02
1689545825.7409177,24.791,55.63,38.0283,2.000110823E+02
1689545827.1594503,24.791,55.627,38.0283,2.000110106E+02
1689545828.5779636,24.784,55.642,38.0283,2.000110386E+02
1689545829.9964933,24.784,55.635,38.0283,2.000109057E+02
1689545831.4149683,24.788,55.631,38.0274,2.000109760E+02
1689545832.8334339,24.788,55.636,38.0274,2.000110616E+02
1689545834.2521343,24.786,55.638,38.0274,2.000109585E+02
1689545835.670613,24.788,55.634,38.0274,2.000109620E+02
1689545837.0890598,24.788,55.634,38.0263,2.000111221E+02
1689545838.5071023,24.786,55.635,38.0263,2.000109315E+02
1689545839.9256454,24.784,55.638,38.0263,2.000110627E+02
1689545841.344426,24.78,55.635,38.0263,2.000110137E+02
1689545842.7627323,24.783,55.638,38.0255,2.000109754E+02
1689545844.1812985,24.786,55.632,38.0255,2.000109807E+02
1689545845.5997312,24.784,55.619,38.0255,2.000110436E+02
1689545847.018233,24.783,55.626,38.0255,2.000109929E+02
1689545848.4365997,24.786,55.632,38.0243,2.000109605E+02
1689545849.8551493,24.784,55.63,38.0243,2.000110164E+02
1689545851.273538,24.781,55.627,38.0243,2.000110444E+02
1689545852.6919503,24.788,55.623,38.0243,2.000110112E+02
1689545854.1104007,24.784,55.626,38.0234,2.000110815E+02
1689545855.5289872,24.783,55.624,38.0234,2.000110203E+02
1689545856.9473228,24.784,55.628,38.0234,2.000110133E+02
1689545858.3658104,24.786,55.631,38.0234,2.000109994E+02
1689545859.784272,24.789,55.625,38.0224,2.000110245E+02
1689545861.2028534,24.786,55.629,38.0224,2.000110052E+02
1689545862.6213133,24.789,55.628,38.0224,2.000109615E+02
1689545864.0397542,24.788,55.631,38.0224,2.000110157E+02
1689545865.4584708,24.784,55.63,38.0212,2.000109912E+02
1689545866.8767989,24.778,55.624,38.0212,2.000111188E+02
