t, ref_c, dmm_c, humidity, v
1689101736.4207947, 24.204, 40.712, 53.578, 7.045669247E+00
1689101737.8393056, 24.202, 40.712, 53.58, 7.045668778E+00
1689101739.2578278, 24.202, 40.7123, 53.582, 7.045669041E+00
1689101740.676144, 24.207, 40.7122, 53.588, 7.045669903E+00
1689101742.0946412, 24.192, 40.7118, 53.59, 7.045669866E+00
1689101743.5131943, 24.193, 40.7118, 53.589, 7.045669567E+00
1689101744.9315326, 24.192, 40.7118, 53.592, 7.045669014E+00
1689101746.3500392, 24.188, 40.7114, 53.588, 7.045668060E+00
1689101747.7685149, 24.185, 40.7112, 53.593, 7.045668276E+00
1689101749.1870801, 24.19, 40.7114, 53.598, 7.045666549E+00
1689101750.605353, 24.181, 40.7107, 53.595, 7.045669480E+00
1689101752.0238714, 24.181, 40.7111, 53.599, 7.045668432E+00
1689101753.4423804, 24.182, 40.7107, 53.604, 7.045669956E+00
1689101754.8607385, 24.172, 40.7114, 53.601, 7.045668692E+00
1689101756.279216, 24.181, 40.711, 53.606, 7.045668752E+00
1689101757.697731, 24.17, 40.7104, 53.6, 7.045669401E+00
1689101759.1160843, 24.181, 40.7109, 53.604, 7.045669986E+00
1689101760.5345962, 24.172, 40.7108, 53.598, 7.045669068E+00
1689101761.9531164, 24.167, 40.711, 53.599, 7.045668416E+00
1689101763.3716137, 24.165, 40.7106, 53.598, 7.045670461E+00
1689101764.7899272, 24.169, 40.7106, 53.603, 7.045669137E+00
1689101766.2084389, 24.155, 40.7096, 53.593, 7.045669078E+00
1689101767.6269271, 24.169, 40.7103, 53.598, 7.045668618E+00
1689101769.0454547, 24.15, 40.7098, 53.59, 7.045669613E+00
1689101770.4638743, 24.156, 40.71, 53.601, 7.045668998E+00
1689101771.8823137, 24.158, 40.7094, 53.601, 7.045669167E+00
1689101773.3008084, 24.156, 40.7096, 53.608, 7.045669986E+00
1689101774.7191534, 24.153, 40.7095, 53.608, 7.045671303E+00
1689101776.137673, 24.147, 40.7093, 53.62, 7.045669144E+00
1689101777.5561702, 24.147, 40.7093, 53.608, 7.045667726E+00
1689101778.974511, 24.15, 40.7089, 53.625, 7.045667636E+00
1689101780.3930306, 24.144, 40.7088, 53.618, 7.045668608E+00
1689101781.811561, 24.146, 40.7088, 53.622, 7.045668758E+00
1689101783.229901, 24.141, 40.7092, 53.617, 7.045669962E+00
1689101784.6484127, 24.146, 40.7085, 53.613, 7.045668708E+00
1689101786.0668995, 24.15, 40.7083, 53.606, 7.045669240E+00
1689101787.4852054, 24.139, 40.7085, 53.604, 7.045669384E+00
1689101788.903725, 24.141, 40.7077, 53.604, 7.045670445E+00
1689101790.3222356, 24.136, 40.7077, 53.596, 7.045668718E+00
1689101791.740737, 24.132, 40.7076, 53.601, 7.045667956E+00
1689101793.1590624, 24.127, 40.7082, 53.601, 7.045668838E+00
1689101794.57757, 24.126, 40.7068, 53.595, 7.045668948E+00
1689101795.99608, 24.126, 40.7072, 53.595, 7.045670574E+00
1689101797.4144127, 24.124, 40.7069, 53.596, 7.045670811E+00
1689101798.8329296, 24.12, 40.7069, 53.598, 7.045669477E+00
1689101800.2514312, 24.129, 40.7064, 53.592, 7.045669007E+00
1689101801.669788, 24.12, 40.7059, 53.594, 7.045667816E+00
