t, ref_c, humidity, v_ch1, v_ch2
1689038438.9102125, 24.53, 53.073, 9.999575615e+00, 9.999694824e+00
1689038440.3287306, 24.533, 53.074, 9.999578476e+00, 9.999713898e+00
1689038441.7472587, 24.532, 53.072, 9.999589920e+00, 9.999694824e+00
1689038443.1655443, 24.533, 53.077, 9.999597549e+00, 9.999702454e+00
1689038444.5840924, 24.538, 53.078, 9.999591827e+00, 9.999696732e+00
1689038446.0025826, 24.53, 53.08, 9.999588013e+00, 9.999702454e+00
1689038447.4209251, 24.544, 53.078, 9.999578476e+00, 9.999711990e+00
1689038448.8394477, 24.538, 53.081, 9.999578476e+00, 9.999713898e+00
1689038450.2579386, 24.542, 53.08, 9.999594688e+00, 9.999713898e+00
1689038451.6764488, 24.538, 53.075, 9.999580383e+00, 9.999715805e+00
1689038453.0947948, 24.545, 53.083, 9.999591827e+00, 9.999709129e+00
1689038454.5133111, 24.536, 53.074, 9.999582291e+00, 9.999709129e+00
1689038455.9317977, 24.539, 53.079, 9.999578476e+00, 9.999706268e+00
1689038457.3501678, 24.547, 53.08, 9.999589920e+00, 9.999702454e+00
1689038458.7686534, 24.545, 53.082, 9.999585152e+00, 9.999709129e+00
1689038460.1871722, 24.544, 53.085, 9.999604225e+00, 9.999699593e+00
1689038461.6054974, 24.553, 53.082, 9.999589920e+00, 9.999694824e+00
1689038463.0240383, 24.539, 53.082, 9.999570847e+00, 9.999683380e+00
1689038464.4425116, 24.541, 53.083, 9.999575615e+00, 9.999690056e+00
1689038465.860879, 24.541, 53.086, 9.999556541e+00, 9.999699593e+00
1689038467.2793489, 24.53, 53.091, 9.999556541e+00, 9.999709129e+00
1689038468.6979072, 24.545, 53.095, 9.999556541e+00, 9.999721527e+00
1689038470.1163845, 24.544, 53.092, 9.999561310e+00, 9.999715805e+00
1689038471.5347087, 24.542, 53.099, 9.999580383e+00, 9.999711990e+00
1689038472.9531932, 24.541, 53.098, 9.999575615e+00, 9.999713898e+00
1689038474.37177, 24.542, 53.102, 9.999578476e+00, 9.999709129e+00
