t, ref_c, humidity, v_ch1, v_ch2
1689079002.4422007, 23.752, 54.087, 9.999580383e+00, 9.999778748e+00
1689079003.8605309, 23.75, 54.087, 9.999578476e+00, 9.999782562e+00
1689079005.2790108, 23.752, 54.086, 9.999580383e+00, 9.999778748e+00
1689079006.6975884, 23.75, 54.091, 9.999597549e+00, 9.999771118e+00
1689079008.1160238, 23.755, 54.083, 9.999594688e+00, 9.999780655e+00
1689079009.5346034, 23.747, 54.092, 9.999591827e+00, 9.999775887e+00
1689079010.952872, 23.753, 54.09, 9.999597549e+00, 9.999761581e+00
1689079012.3713706, 23.755, 54.095, 9.999601364e+00, 9.999742508e+00
1689079013.7897186, 23.756, 54.098, 9.999594688e+00, 9.999756813e+00
1689079015.2082534, 23.759, 54.099, 9.999582291e+00, 9.999756813e+00
1689079016.6267266, 23.764, 54.108, 9.999599457e+00, 9.999769211e+00
1689079018.0451953, 23.759, 54.103, 9.999607086e+00, 9.999763489e+00
1689079019.4635842, 23.764, 54.101, 9.999594688e+00, 9.999775887e+00
1689079020.8820505, 23.752, 54.097, 9.999604225e+00, 9.999771118e+00
1689079022.300653, 23.756, 54.095, 9.999591827e+00, 9.999753952e+00
1689079023.7189014, 23.769, 54.104, 9.999599457e+00, 9.999761581e+00
1689079025.1373987, 23.764, 54.112, 9.999607086e+00, 9.999766350e+00
1689079026.555926, 23.759, 54.101, 9.999601364e+00, 9.999737740e+00
1689079027.974426, 23.766, 54.101, 9.999604225e+00, 9.999742508e+00
1689079029.3927433, 23.766, 54.102, 9.999610901e+00, 9.999740601e+00
1689079030.8112466, 23.756, 54.101, 9.999604225e+00, 9.999752045e+00
1689079032.229776, 23.763, 54.112, 9.999604225e+00, 9.999756813e+00
1689079033.648236, 23.752, 54.1, 9.999601364e+00, 9.999766350e+00
1689079035.0666223, 23.758, 54.108, 9.999604225e+00, 9.999759674e+00
1689079036.4851131, 23.759, 54.116, 9.999591827e+00, 9.999763489e+00
1689079037.9035845, 23.761, 54.121, 9.999594688e+00, 9.999761581e+00
1689079039.322033, 23.766, 54.124, 9.999604225e+00, 9.999766350e+00
1689079040.740433, 23.755, 54.125, 9.999599457e+00, 9.999773026e+00
1689079042.1589358, 23.759, 54.126, 9.999610901e+00, 9.999761581e+00
1689079043.5772598, 23.769, 54.124, 9.999589920e+00, 9.999753952e+00
1689079044.9958847, 23.767, 54.128, 9.999591827e+00, 9.999773026e+00
1689079046.4143555, 23.759, 54.131, 9.999589920e+00, 9.999773026e+00
1689079047.8328104, 23.769, 54.144, 9.999588013e+00, 9.999766350e+00
1689079049.2513134, 23.766, 54.141, 9.999610901e+00, 9.999766350e+00
1689079050.669612, 23.764, 54.138, 9.999620438e+00, 9.999759674e+00
1689079052.0881352, 23.77, 54.141, 9.999613762e+00, 9.999756813e+00
1689079053.5066886, 23.767, 54.145, 9.999597549e+00, 9.999759674e+00
1689079054.9249816, 23.773, 54.14, 9.999601364e+00, 9.999761581e+00
1689079056.343462, 23.77, 54.146, 9.999588013e+00, 9.999761581e+00
1689079057.761993, 23.763, 54.15, 9.999585152e+00, 9.999766350e+00
1689079059.1804802, 23.778, 54.151, 9.999582291e+00, 9.999759674e+00
1689079060.5988536, 23.766, 54.156, 9.999580383e+00, 9.999737740e+00
1689079062.0173237, 23.778, 54.16, 9.999599457e+00, 9.999750137e+00
1689079063.435838, 23.775, 54.157, 9.999599457e+00, 9.999747276e+00
1689079064.8543093, 23.773, 54.151, 9.999591827e+00, 9.999747276e+00
1689079066.272702, 23.775, 54.153, 9.999591827e+00, 9.999734879e+00
1689079067.6912162, 23.776, 54.153, 9.999594688e+00, 9.999750137e+00
1689079069.1098444, 23.784, 54.153, 9.999589920e+00, 9.999756813e+00
1689079070.5280666, 23.772, 54.152, 9.999607086e+00, 9.999759674e+00
1689079071.9465091, 23.779, 54.153, 9.999601364e+00, 9.999752045e+00
1689079073.3650346, 23.781, 54.148, 9.999613762e+00, 9.999747276e+00
1689079074.783529, 23.779, 54.152, 9.999597549e+00, 9.999737740e+00
1689079076.201856, 23.781, 54.157, 9.999613762e+00, 9.999731064e+00
1689079077.6204884, 23.776, 54.156, 9.999601364e+00, 9.999737740e+00
