t, ref_c, humidity, v
1689102979.9297965, 24.237, 52.898, 1.000024319e+01
1689102981.3483038, 24.236, 52.895, 1.000037289e+01
1689102982.7666595, 24.228, 52.891, 1.000012875e+01
1689102984.1851666, 24.236, 52.886, 1.000023842e+01
1689102985.6036527, 24.241, 52.886, 1.000013924e+01
1689102987.02199, 24.236, 52.883, 1.000036526e+01
1689102988.4404805, 24.239, 52.879, 1.000025082e+01
1689102989.8589835, 24.234, 52.88, 1.000028419e+01
1689102991.2775, 24.23, 52.883, 1.000021648e+01
1689102992.6958241, 24.234, 52.886, 1.000038910e+01
1689102994.1143746, 24.23, 52.883, 1.000042629e+01
1689102995.5328183, 24.222, 52.881, 1.000032520e+01
1689102996.9511762, 24.221, 52.874, 1.000056267e+01
1689102998.3697243, 24.231, 52.876, 1.000036144e+01
1689102999.7882369, 24.222, 52.868, 1.000062752e+01
1689103001.20657, 24.221, 52.861, 1.000049496e+01
1689103002.6250446, 24.207, 52.854, 1.000051880e+01
1689103004.0435302, 24.201, 52.842, 1.000050545e+01
1689103005.4620996, 24.201, 52.841, 1.000059795e+01
1689103006.8803482, 24.201, 52.836, 1.000050926e+01
1689103008.298879, 24.199, 52.837, 1.000065994e+01
1689103009.7173867, 24.199, 52.838, 1.000063419e+01
1689103011.135734, 24.195, 52.84, 1.000074291e+01
1689103012.5542111, 24.196, 52.84, 1.000062847e+01
1689103013.9727108, 24.19, 52.849, 1.000060177e+01
1689103015.391225, 24.201, 52.854, 1.000048447e+01
1689103016.8095868, 24.196, 52.853, 1.000068760e+01
1689103018.2280757, 24.198, 52.861, 1.000049973e+01
1689103019.6466157, 24.198, 52.86, 1.000064564e+01
1689103021.0649335, 24.193, 52.856, 1.000048351e+01
1689103022.4834406, 24.193, 52.865, 1.000046539e+01
1689103023.9019465, 24.196, 52.865, 9.999741554e+00
1689103025.3202858, 24.193, 52.861, 9.999807358e+00
1689103026.7387865, 24.184, 52.853, 9.999785423e+00
1689103028.1572773, 24.196, 52.852, 9.999779701e+00
1689103029.575617, 24.192, 52.85, 9.999548912e+00
1689103030.9941828, 24.188, 52.846, 9.999667168e+00
1689103032.4126294, 24.182, 52.831, 9.999685287e+00
1689103033.8309588, 24.184, 52.825, 9.999691963e+00
1689103035.24947, 24.178, 52.82, 9.999776840e+00
1689103036.6679764, 24.175, 52.817, 9.999575615e+00
1689103038.086478, 24.175, 52.812, 9.999579430e+00
1689103039.5048022, 24.172, 52.813, 9.999755859e+00
1689103040.923337, 24.179, 52.823, 9.999876976e+00
1689103042.3418248, 24.173, 52.842, 1.000028896e+01
1689103043.7601593, 24.178, 52.853, 1.000038338e+01
1689103045.1786678, 24.184, 52.874, 1.000040340e+01
1689103046.5971556, 24.179, 52.885, 1.000042439e+01
1689103048.0155094, 24.181, 52.893, 1.000027370e+01
1689103049.4340217, 24.188, 52.917, 1.000045872e+01
1689103050.852527, 24.173, 52.919, 1.000045395e+01
1689103052.271031, 24.175, 52.925, 1.000022793e+01
1689103053.6893792, 24.175, 52.924, 1.000021744e+01
1689103055.1078753, 24.165, 52.912, 1.000053692e+01
1689103056.526371, 24.161, 52.901, 1.000065136e+01
1689103057.944724, 24.15, 52.898, 1.000039577e+01
1689103059.3632388, 24.15, 52.893, 1.000047016e+01
1689103060.7817385, 24.142, 52.885, 1.000045586e+01
1689103062.2000902, 24.136, 52.876, 1.000051022e+01
1689103063.6185749, 24.139, 52.875, 1.000036049e+01
1689103065.0371408, 24.141, 52.865, 1.000047302e+01
1689103066.455581, 24.139, 52.865, 1.000057220e+01
1689103067.873914, 24.139, 52.862, 1.000052834e+01
1689103069.2924259, 24.138, 52.863, 1.000040531e+01
1689103070.710908, 24.139, 52.858, 1.000032997e+01
1689103072.1292276, 24.144, 52.853, 1.000019932e+01
1689103073.547744, 24.15, 52.848, 1.000027275e+01
1689103074.9661317, 24.133, 52.846, 1.000026512e+01
1689103076.3845992, 24.144, 52.837, 1.000027847e+01
1689103077.8031054, 24.147, 52.836, 1.000027657e+01
1689103079.2216065, 24.152, 52.842, 1.000016880e+01
1689103080.639945, 24.153, 52.839, 1.000029087e+01
1689103082.058459, 24.149, 52.827, 1.000041580e+01
1689103083.4769974, 24.149, 52.819, 1.000030518e+01
1689103084.8954885, 24.147, 52.807, 1.000039577e+01
1689103086.3138099, 24.147, 52.8, 1.000023651e+01
1689103087.7323287, 24.149, 52.8, 1.000040245e+01
1689103089.1508243, 24.149, 52.791, 1.000018406e+01
1689103090.5693421, 24.142, 52.79, 1.000032425e+01
1689103091.9876847, 24.144, 52.781, 1.000035095e+01
1689103093.4061892, 24.146, 52.781, 1.000026035e+01
1689103094.8245025, 24.152, 52.776, 1.000032997e+01
1689103096.2430744, 24.155, 52.778, 1.000030708e+01
1689103097.661529, 24.156, 52.768, 1.000043583e+01
1689103099.0800228, 24.153, 52.762, 1.000044727e+01
1689103100.4983783, 24.147, 52.75, 1.000057602e+01
1689103101.9168537, 24.15, 52.747, 1.000054741e+01
1689103103.33538, 24.153, 52.742, 1.000066948e+01
1689103104.7537203, 24.153, 52.729, 1.000041676e+01
1689103106.1722503, 24.158, 52.721, 1.000065041e+01
1689103107.5907323, 24.152, 52.716, 1.000055599e+01
1689103109.0091171, 24.156, 52.706, 1.000041962e+01
1689103110.4275818, 24.156, 52.703, 1.000052834e+01
1689103111.8461292, 24.159, 52.697, 1.000050735e+01
1689103113.2644079, 24.159, 52.686, 1.000060368e+01
1689103114.682935, 24.155, 52.68, 1.000045395e+01
1689103116.1014476, 24.162, 52.672, 1.000055027e+01
1689103117.519936, 24.158, 52.675, 1.000036335e+01
1689103118.9382718, 24.165, 52.674, 1.000021744e+01
1689103120.3567836, 24.164, 52.668, 1.000009727e+01
1689103121.775291, 24.169, 52.67, 1.000016880e+01
1689103123.1936297, 24.173, 52.674, 1.000012398e+01
1689103124.6121306, 24.172, 52.68, 1.000006771e+01
1689103126.0306318, 24.169, 52.679, 1.000017548e+01
1689103127.4490006, 24.173, 52.694, 1.000018215e+01
1689103128.8675046, 24.173, 52.69, 1.000031090e+01
1689103130.285983, 24.179, 52.696, 1.000016117e+01
1689103131.704316, 24.169, 52.706, 1.000026131e+01
1689103133.1228476, 24.162, 52.705, 1.000021839e+01
1689103134.5413394, 24.159, 52.714, 1.000011253e+01
1689103135.9596758, 24.165, 52.717, 1.000015068e+01
1689103137.3781796, 24.161, 52.723, 1.000029659e+01
1689103138.7968707, 24.155, 52.729, 1.000032806e+01
1689103140.2151973, 24.172, 52.737, 1.000036144e+01
1689103141.6335802, 24.175, 52.749, 1.000026512e+01
1689103143.0520315, 24.172, 52.752, 1.000039768e+01
1689103144.470529, 24.169, 52.754, 1.000054073e+01
1689103145.8888705, 24.185, 52.776, 1.000039959e+01
1689103147.3074083, 24.179, 52.781, 1.000043869e+01
1689103148.7258878, 24.176, 52.789, 1.000065041e+01
1689103150.144243, 24.181, 52.801, 1.000063801e+01
1689103151.5627341, 24.181, 52.811, 1.000076675e+01
1689103152.9812481, 24.19, 52.831, 1.000075245e+01
1689103154.3996453, 24.184, 52.84, 1.000075150e+01
1689103155.8181393, 24.192, 52.85, 1.000074959e+01
1689103157.2366111, 24.185, 52.865, 1.000077248e+01
1689103158.6551347, 24.19, 52.867, 1.000055408e+01
1689103160.0734332, 24.199, 52.883, 1.000051975e+01
1689103161.491947, 24.201, 52.897, 1.000049877e+01
1689103162.9105215, 24.21, 52.904, 1.000052834e+01
1689103164.3287783, 24.211, 52.922, 1.000047874e+01
1689103165.7473042, 24.208, 52.934, 1.000056362e+01
1689103167.165799, 24.218, 52.951, 1.000052738e+01
1689103168.5841956, 24.224, 52.971, 1.000040340e+01
1689103170.0026152, 24.218, 52.986, 1.000026131e+01
1689103171.4211228, 24.219, 53.012, 1.000040150e+01
1689103172.8396766, 24.216, 53.033, 1.000032234e+01
1689103174.2579918, 24.228, 53.049, 1.000038624e+01
1689103175.6764948, 24.225, 53.071, 1.000036240e+01
1689103177.0950458, 24.23, 53.08, 1.000024986e+01
1689103178.5133266, 24.23, 53.098, 1.000036812e+01
1689103179.9318337, 24.23, 53.121, 1.000013924e+01
1689103181.350337, 24.231, 53.144, 1.000000858e+01
1689103182.7686589, 24.244, 53.165, 1.000024223e+01
1689103184.1871638, 24.241, 53.182, 1.000026703e+01
1689103185.605668, 24.244, 53.195, 1.000030422e+01
1689103187.0241768, 24.245, 53.226, 1.000017834e+01
1689103188.4425187, 24.244, 53.248, 1.000033092e+01
1689103189.8610237, 24.248, 53.271, 1.000023746e+01
1689103191.279577, 24.262, 53.3, 1.000037956e+01
1689103192.697861, 24.256, 53.315, 1.000040150e+01
1689103194.116378, 24.262, 53.336, 1.000018406e+01
1689103195.5349088, 24.257, 53.35, 1.000053692e+01
1689103196.9532294, 24.253, 53.365, 1.000051212e+01
1689103198.3717382, 24.268, 53.394, 1.000065136e+01
1689103199.79026, 24.273, 53.398, 1.000065994e+01
1689103201.2085936, 24.273, 53.422, 1.000064754e+01
1689103202.627124, 24.264, 53.433, 1.000065041e+01
1689103204.0456483, 24.271, 53.447, 1.000054550e+01
1689103205.4641216, 24.268, 53.452, 1.000039673e+01
1689103206.8824527, 24.271, 53.459, 1.000052071e+01
1689103208.300978, 24.264, 53.455, 1.000050640e+01
1689103209.7195692, 24.262, 53.458, 1.000059700e+01
1689103211.1377811, 24.268, 53.455, 1.000053024e+01
1689103212.556345, 24.265, 53.45, 1.000051498e+01
1689103213.97483, 24.26, 53.454, 1.000050354e+01
1689103215.393256, 24.262, 53.456, 1.000045395e+01
1689103216.8116498, 24.27, 53.455, 1.000031185e+01
1689103218.2301464, 24.268, 53.453, 1.000028801e+01
1689103219.6486876, 24.264, 53.461, 1.000029850e+01
1689103221.0670288, 24.27, 53.464, 1.000024796e+01
1689103222.485512, 24.276, 53.464, 1.000017834e+01
1689103223.9040349, 24.279, 53.461, 1.000040913e+01
1689103225.322378, 24.28, 53.457, 1.000029945e+01
1689103226.7409196, 24.287, 53.449, 1.000025749e+01
1689103228.1595147, 24.29, 53.459, 1.000012779e+01
1689103229.5779226, 24.285, 53.453, 1.000013733e+01
1689103230.9961987, 24.287, 53.454, 1.000023937e+01
1689103232.4148166, 24.293, 53.452, 1.000025177e+01
1689103233.8330395, 24.305, 53.458, 1.000029564e+01
1689103235.2515395, 24.296, 53.449, 1.000007725e+01
1689103236.6700535, 24.297, 53.457, 1.000022507e+01
1689103238.088571, 24.297, 53.455, 1.000024414e+01
1689103239.5069218, 24.308, 53.459, 1.000027847e+01
1689103240.92542, 24.3, 53.478, 1.000029564e+01
1689103242.3439376, 24.302, 53.479, 1.000058365e+01
1689103243.7624223, 24.308, 53.481, 1.000048923e+01
1689103245.1808124, 24.313, 53.491, 1.000060177e+01
1689103246.5992794, 24.317, 53.489, 1.000059795e+01
1689103248.0178227, 24.316, 53.495, 1.000049782e+01
1689103249.4361405, 24.319, 53.501, 1.000059509e+01
1689103250.8546443, 24.328, 53.499, 1.000072098e+01
1689103252.273176, 24.328, 53.503, 1.000073051e+01
1689103253.6916134, 24.337, 53.502, 1.000060844e+01
