t, ref_c, dmm_c, humidity, v
1689260554.7639723, 25.589, 38.0628, 52.801, 7.045663019E+00
1689260556.1826348, 25.584, 38.0632, 52.799, 7.045662557E+00
1689260557.6009066, 25.593, 38.0626, 52.795, 7.045662547E+00
1689260559.0193486, 25.589, 38.0623, 52.798, 7.045663079E+00
1689260560.4378045, 25.59, 38.062, 52.801, 7.045662966E+00
1689260561.8563406, 25.592, 38.0616, 52.799, 7.045662933E+00
1689260563.2747438, 25.574, 38.0613, 52.802, 7.045664813E+00
1689260564.6931872, 25.58, 38.0607, 52.795, 7.045662913E+00
1689260566.111984, 25.592, 38.0608, 52.8, 7.045662494E+00
1689260567.5302699, 25.587, 38.0606, 52.799, 7.045662777E+00
1689260568.948568, 25.587, 38.0605, 52.793, 7.045663539E+00
1689260570.367261, 25.584, 38.0599, 52.796, 7.045662397E+00
1689260571.7856414, 25.586, 38.0589, 52.793, 7.045662663E+00
1689260573.2042434, 25.581, 38.0591, 52.788, 7.045664677E+00
1689260574.622474, 25.592, 38.0583, 52.791, 7.045663798E+00
1689260576.0413017, 25.583, 38.0584, 52.801, 7.045665073E+00
1689260577.4595616, 25.584, 38.058, 52.791, 7.045661922E+00
1689260578.8780417, 25.586, 38.0577, 52.792, 7.045661712E+00
1689260580.2964108, 25.589, 38.0574, 52.789, 7.045663892E+00
1689260581.7149796, 25.584, 38.0573, 52.796, 7.045662757E+00
1689260583.1333892, 25.587, 38.0567, 52.794, 7.045663476E+00
1689260584.5518713, 25.589, 38.0565, 52.795, 7.045663310E+00
1689260585.970234, 25.584, 38.0566, 52.796, 7.045662495E+00
1689260587.38876, 25.59, 38.0558, 52.792, 7.045663180E+00
1689260588.8072743, 25.589, 38.0556, 52.793, 7.045663213E+00
1689260590.225916, 25.595, 38.0554, 52.791, 7.045662944E+00
1689260591.6441164, 25.586, 38.0549, 52.792, 7.045661886E+00
1689260593.0627809, 25.59, 38.0548, 52.801, 7.045663080E+00
1689260594.4812002, 25.593, 38.055, 52.794, 7.045663380E+00
1689260595.8997, 25.586, 38.054, 52.789, 7.045663816E+00
1689260597.3179955, 25.59, 38.0537, 52.79, 7.045661919E+00
1689260598.7366662, 25.584, 38.0534, 52.791, 7.045662558E+00
1689260600.1550303, 25.584, 38.0532, 52.798, 7.045664315E+00
1689260601.5733604, 25.589, 38.0529, 52.793, 7.045663506E+00
1689260602.992161, 25.587, 38.0528, 52.792, 7.045662688E+00
1689260604.4104025, 25.59, 38.0521, 52.787, 7.045662415E+00
1689260605.8288836, 25.59, 38.0516, 52.789, 7.045663300E+00
1689260607.247305, 25.586, 38.0522, 52.788, 7.045662318E+00
1689260608.6657732, 25.584, 38.0515, 52.788, 7.045663200E+00
1689260610.0843127, 25.592, 38.0506, 52.792, 7.045663107E+00
1689260611.5028744, 25.597, 38.0505, 52.794, 7.045663583E+00
1689260612.921137, 25.595, 38.0501, 52.792, 7.045663327E+00
1689260614.3396926, 25.584, 38.0502, 52.787, 7.045663859E+00
1689260615.7581625, 25.593, 38.0494, 52.791, 7.045663882E+00
1689260617.176855, 25.584, 38.0492, 52.78, 7.045664215E+00
1689260618.5952055, 25.586, 38.0493, 52.786, 7.045663916E+00
1689260620.013616, 25.587, 38.0493, 52.791, 7.045661786E+00
1689260621.4320931, 25.597, 38.0489, 52.787, 7.045662818E+00
1689260622.850372, 25.586, 38.0484, 52.787, 7.045663949E+00
1689260624.2689075, 25.595, 38.0481, 52.784, 7.045664595E+00
1689260625.6875277, 25.586, 38.0481, 52.787, 7.045664878E+00
1689260627.1059947, 25.578, 38.0476, 52.784, 7.045663251E+00
1689260628.524331, 25.597, 38.0473, 52.78, 7.045662509E+00
1689260629.9428177, 25.597, 38.0475, 52.787, 7.045662994E+00
1689260631.3613522, 25.6, 38.0472, 52.789, 7.045661870E+00
1689260632.7798457, 25.586, 38.0474, 52.784, 7.045662718E+00
1689260634.1983597, 25.589, 38.0465, 52.783, 7.045662545E+00
1689260635.6166317, 25.587, 38.0466, 52.787, 7.045662801E+00
1689260637.0351834, 25.592, 38.0467, 52.789, 7.045663344E+00
1689260638.453824, 25.589, 38.0464, 52.787, 7.045662482E+00
1689260639.8722525, 25.584, 38.0452, 52.783, 7.045663849E+00
1689260641.2907696, 25.595, 38.0456, 52.787, 7.045663676E+00
1689260642.7090921, 25.581, 38.0455, 52.783, 7.045663893E+00
1689260644.1276865, 25.595, 38.0452, 52.78, 7.045662558E+00
1689260645.5460906, 25.584, 38.0452, 52.782, 7.045662316E+00
1689260646.9645855, 25.598, 38.0447, 52.786, 7.045662519E+00
1689260648.3829408, 25.595, 38.0436, 52.788, 7.045664016E+00
1689260649.8014987, 25.593, 38.0439, 52.784, 7.045662110E+00
1689260651.22012, 25.587, 38.044, 52.783, 7.045662945E+00
1689260652.6383867, 25.59, 38.0435, 52.781, 7.045664012E+00
1689260654.0569696, 25.587, 38.0437, 52.788, 7.045663380E+00
1689260655.4754035, 25.587, 38.0426, 52.784, 7.045663034E+00
1689260656.8937123, 25.587, 38.0429, 52.787, 7.045663257E+00
1689260658.31226, 25.597, 38.0417, 52.789, 7.045662652E+00
1689260659.7307565, 25.595, 38.0424, 52.786, 7.045662156E+00
1689260661.1492279, 25.6, 38.0423, 52.79, 7.045664199E+00
1689260662.5680163, 25.598, 38.0419, 52.786, 7.045664881E+00
1689260663.9862173, 25.597, 38.0418, 52.782, 7.045663224E+00
1689260665.4047241, 25.593, 38.0415, 52.788, 7.045663843E+00
1689260666.823107, 25.593, 38.0411, 52.79, 7.045662861E+00
1689260668.241613, 25.597, 38.0402, 52.78, 7.045662269E+00
1689260669.660027, 25.593, 38.0408, 52.781, 7.045664106E+00
1689260671.078489, 25.589, 38.0399, 52.781, 7.045663477E+00
1689260672.4969912, 25.593, 38.0396, 52.779, 7.045664002E+00
1689260673.9155, 25.592, 38.0401, 52.783, 7.045662279E+00
1689260675.3341112, 25.592, 38.0398, 52.789, 7.045663640E+00
1689260676.7524211, 25.597, 38.0396, 52.784, 7.045662905E+00
1689260678.170878, 25.593, 38.039, 52.778, 7.045663214E+00
1689260679.5894616, 25.593, 38.0387, 52.783, 7.045663756E+00
1689260681.0076745, 25.592, 38.0392, 52.782, 7.045664036E+00
1689260682.4262023, 25.592, 38.0389, 52.778, 7.045663350E+00
1689260683.8446932, 25.592, 38.0388, 52.783, 7.045663570E+00
1689260685.2632427, 25.595, 38.0389, 52.787, 7.045664332E+00
1689260686.6817195, 25.598, 38.0386, 52.789, 7.045662772E+00
1689260688.1001449, 25.601, 38.0377, 52.783, 7.045663663E+00
1689260689.5185862, 25.601, 38.0378, 52.784, 7.045664156E+00
1689260690.9370713, 25.587, 38.0381, 52.783, 7.045664691E+00
1689260692.3554614, 25.597, 38.0371, 52.782, 7.045663740E+00
1689260693.774, 25.595, 38.0369, 52.781, 7.045663374E+00
1689260695.192539, 25.595, 38.0371, 52.775, 7.045663327E+00
1689260696.611157, 25.597, 38.0364, 52.772, 7.045662888E+00
1689260698.0293794, 25.598, 38.0359, 52.783, 7.045661311E+00
1689260699.448013, 25.6, 38.0366, 52.779, 7.045665297E+00
1689260700.8663793, 25.595, 38.0362, 52.778, 7.045663617E+00
1689260702.2849092, 25.6, 38.0357, 52.781, 7.045664126E+00
1689260703.7034268, 25.595, 38.036, 52.782, 7.045661777E+00
1689260705.1219308, 25.598, 38.0355, 52.786, 7.045661697E+00
1689260706.5402756, 25.592, 38.0352, 52.782, 7.045661880E+00
1689260707.959014, 25.598, 38.0343, 52.78, 7.045663021E+00
1689260709.3772776, 25.598, 38.0348, 52.782, 7.045663115E+00
1689260710.7959228, 25.598, 38.0348, 52.779, 7.045663667E+00
1689260712.214174, 25.598, 38.0341, 52.782, 7.045663763E+00
1689260713.6326363, 25.593, 38.0343, 52.774, 7.045663883E+00
1689260715.051134, 25.601, 38.0341, 52.782, 7.045662852E+00
1689260716.4694731, 25.59, 38.034, 52.786, 7.045664142E+00
1689260717.8881333, 25.589, 38.0335, 52.78, 7.045662509E+00
1689260719.3069475, 25.604, 38.033, 52.775, 7.045663394E+00
1689260720.7248387, 25.598, 38.0335, 52.782, 7.045663807E+00
1689260722.1434488, 25.598, 38.032, 52.781, 7.045662529E+00
1689260723.5621328, 25.592, 38.0328, 52.775, 7.045663684E+00
1689260724.9805994, 25.601, 38.0325, 52.778, 7.045662216E+00
1689260726.3991058, 25.597, 38.0328, 52.782, 7.045662283E+00
1689260727.817262, 25.598, 38.0321, 52.784, 7.045663674E+00
1689260729.235795, 25.597, 38.0315, 52.779, 7.045663165E+00
1689260730.6543143, 25.597, 38.0315, 52.778, 7.045665098E+00
1689260732.0727835, 25.595, 38.0308, 52.781, 7.045663185E+00
1689260733.4911742, 25.6, 38.0309, 52.778, 7.045663434E+00
1689260734.9096317, 25.604, 38.0305, 52.79, 7.045663354E+00
1689260736.3281639, 25.6, 38.0305, 52.778, 7.045662519E+00
1689260737.7468336, 25.603, 38.0303, 52.778, 7.045662326E+00
1689260739.1651645, 25.6, 38.03, 52.775, 7.045663521E+00
1689260740.5837595, 25.598, 38.0297, 52.783, 7.045663933E+00
1689260742.0020506, 25.598, 38.0297, 52.777, 7.045662812E+00
1689260743.4205751, 25.595, 38.0292, 52.778, 7.045663424E+00
1689260744.8390543, 25.601, 38.0296, 52.779, 7.045663534E+00
1689260746.2575305, 25.6, 38.0289, 52.775, 7.045662416E+00
